Contig Name,Log2 Fold Change,p- value,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#4711,-2.26,2.83E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#8339,-2.26,4.50E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#45781,-2.20,4.17E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#7243,-2.19,4.29E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#46142,-2.16,4.20E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#13099,-2.15,4.68E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#46525,-2.10,3.30E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#11046,-2.09,2.74E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#9989,-2.04,1.54E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#9743,-1.94,4.64E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#8199,-1.90,2.63E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#43979,-1.72,2.36E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#24085,-1.72,3.62E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#489,-1.68,5.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12325,-1.64,4.44E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#11128,-1.50,5.11E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#2280,-1.41,1.36E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#5768,-1.07,6.58E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#16046,-0.69,4.73E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#7251,1.15,1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#15439,1.33,3.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#7818,1.38,2.88E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#6842,1.75,4.50E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34102,1.85,3.10E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#8474,1.88,1.01E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#3743,2.03,1.47E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#42282,2.20,3.45E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#32408,2.44,3.48E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#40540,2.45,1.72E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20554,2.58,1.47E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
