Contig	SRR5004093_1_trimmed_bowtie_bt2-counts.txt	SRR5004090_1_trimmed_bowtie_bt2-counts.txt	SRR5004097_1_trimmed_bowtie_bt2-counts.txt	SRR5004082_1_trimmed_bowtie_bt2-counts.txt	SRR5004083_1_trimmed_bowtie_bt2-counts.txt	SRR5004094_1_trimmed_bowtie_bt2-counts.txt	SRR5004078_1_trimmed_bowtie_bt2-counts.txt	SRR5004096_1_trimmed_bowtie_bt2-counts.txt	SRR5004080_1_trimmed_bowtie_bt2-counts.txt	SRR5004095_1_trimmed_bowtie_bt2-counts.txt	SRR5004091_1_trimmed_bowtie_bt2-counts.txt	SRR5004085_1_trimmed_bowtie_bt2-counts.txt
contig#39909	12	2	8	1	0	7	0	1	12	3	9	0
contig#3991	459	147	370	164	81	350	188	281	206	161	497	292
contig#39910	14	3	12	4	0	17	2	5	7	2	24	3
contig#39911	16	22	18	12	2	8	8	5	10	5	15	11
contig#39912	7	6	3	21	3	6	2	7	5	9	15	14
contig#39913	28	14	26	31	6	14	13	17	20	18	27	22
contig#39914	4	0	3	0	0	2	0	0	2	1	4	0
contig#39915	55	5	34	11	3	47	4	13	27	16	66	7
contig#39916	36	3	8	2	0	36	1	1	4	5	7	0
contig#39917	133	5	54	21	4	258	50	31	27	17	183	23
contig#39918	1	3	3	5	0	11	3	2	4	0	2	4
contig#39919	5	5	3	5	0	1	1	3	3	2	1	2
contig#3992	84	112	121	215	60	68	99	209	98	122	178	187
contig#39920	57	0	2	30	9	18	26	12	20	15	30	32
contig#39921	10	1	10	0	0	17	9	9	18	9	34	1
contig#39922	39	11	24	11	6	18	36	36	28	21	34	15
contig#39923	10	3	19	16	0	28	4	20	24	7	26	21
contig#39924	7	0	2	2	0	0	2	1	3	1	3	1
contig#39925	4	2	3	4	0	3	0	4	5	2	5	1
contig#39926	8	18	27	20	7	10	11	20	19	15	37	31
contig#39927	24	26	30	30	4	19	15	36	13	26	35	30
contig#39928	5	4	22	0	0	10	1	0	6	1	11	0
contig#39929	23	2	25	3	1	36	5	4	12	2	26	3
contig#3993	12	0	9	1	1	14	0	1	3	0	9	3
contig#39930	74	21	68	18	6	77	5	17	28	14	103	14
contig#39931	7	2	0	8	0	0	4	4	4	3	4	1
contig#39932	34	2	8	39	8	16	20	35	23	13	19	56
contig#39933	4	2	1	2	0	5	1	1	4	2	7	0
contig#39934	26	0	7	1	0	24	2	1	21	4	27	4
contig#39935	33	2	5	11	0	9	4	4	4	6	7	1
contig#39936	18	9	10	9	2	41	9	11	12	11	18	17
contig#39937	9	22	25	27	12	6	12	28	10	13	24	25
contig#39938	49	5	8	3	4	33	11	5	28	12	28	16
contig#39939	12	2	6	8	1	6	4	6	2	4	6	5
contig#3994	536	60	417	140	45	532	78	120	286	120	606	174
contig#39940	6	12	9	20	7	6	23	36	20	5	22	21
contig#39941	45	7	23	6	7	42	18	19	16	9	29	11
contig#39942	7	0	14	0	0	3	0	0	6	0	2	0
contig#39943	25	8	6	4	0	14	1	1	19	4	6	1
contig#39944	1	1	3	3	1	0	4	3	1	1	4	1
contig#39945	9	0	7	0	0	5	4	3	8	4	11	6
contig#39946	3	12	6	5	7	3	3	12	4	5	6	7
contig#39947	17	6	23	10	3	20	6	7	12	5	23	12
contig#39948	26	5	34	11	7	25	9	15	12	3	31	10
contig#39949	4	1	4	0	0	2	0	0	6	2	3	0
contig#3995	351	97	436	103	56	390	46	113	221	113	500	103
contig#39950	33	9	18	20	4	14	9	14	14	13	30	16
contig#39951	4	5	14	19	3	2	7	7	4	8	4	8
contig#39952	34	7	16	15	2	25	3	6	16	7	27	6
contig#39953	1	3	3	1	0	2	0	0	2	4	3	1
contig#39954	5	0	2	1	0	7	2	2	5	4	7	1
contig#39955	70	15	45	17	4	40	25	24	31	20	63	22
contig#39956	14	1	25	8	3	2	5	3	6	8	6	2
contig#39957	27	1	8	30	9	4	18	12	5	7	16	48
contig#39958	7	0	5	3	0	8	1	0	1	0	8	3
contig#39959	39	9	18	13	8	13	13	8	9	15	33	7
contig#3996	302	28	43	76	51	170	329	149	157	280	129	211
contig#39960	64	1	6	14	7	13	82	20	13	11	29	32
contig#39961	36	16	18	34	8	22	17	19	12	21	45	49
contig#39962	28	8	37	14	2	15	11	22	14	11	40	18
contig#39963	2	1	7	3	4	4	2	4	11	0	19	0
contig#39964	20	1	17	4	0	19	1	1	6	0	17	2
contig#39965	8	1	7	0	0	9	0	2	4	4	7	0
contig#39966	71	1	39	6	20	33	9	15	14	21	73	10
contig#39967	34	16	20	17	12	11	26	40	13	16	36	30
contig#39968	50	2	56	3	0	37	3	2	16	1	71	9
contig#39969	24	1	6	4	0	24	3	1	40	4	16	0
contig#3997	2280	156	1227	140	327	1367	803	483	1138	612	1986	227
contig#39970	32	0	13	2	3	21	6	4	6	3	23	3
contig#39971	4	8	7	29	5	4	6	11	5	13	6	24
contig#39972	122	8	54	8	1	64	1	2	47	8	14	1
contig#39973	66	3	36	4	0	38	5	2	47	4	36	10
contig#39974	18	7	14	13	4	14	18	18	10	10	30	21
contig#39975	43	3	33	3	0	20	6	1	13	1	35	1
contig#39976	10	0	1	2	0	1	0	0	5	1	3	1
