Contig	SRR5004093_1_trimmed_bowtie_bt2-counts.txt	SRR5004090_1_trimmed_bowtie_bt2-counts.txt	SRR5004097_1_trimmed_bowtie_bt2-counts.txt	SRR5004082_1_trimmed_bowtie_bt2-counts.txt	SRR5004083_1_trimmed_bowtie_bt2-counts.txt	SRR5004094_1_trimmed_bowtie_bt2-counts.txt	SRR5004078_1_trimmed_bowtie_bt2-counts.txt	SRR5004096_1_trimmed_bowtie_bt2-counts.txt	SRR5004080_1_trimmed_bowtie_bt2-counts.txt	SRR5004095_1_trimmed_bowtie_bt2-counts.txt	SRR5004091_1_trimmed_bowtie_bt2-counts.txt	SRR5004085_1_trimmed_bowtie_bt2-counts.txt
contig#19557	6	0	4	1	0	6	2	0	3	0	9	2
contig#19558	14	12	5	21	4	13	4	1	17	6	17	5
contig#19559	37	14	18	31	11	18	13	30	20	5	22	26
contig#1956	16	6	13	1	3	27	7	9	11	4	19	6
contig#19560	539	67	385	92	11	295	74	73	195	65	339	94
contig#19561	17	0	12	3	0	23	1	3	20	0	14	0
contig#19562	93	22	31	38	10	38	16	86	77	14	89	87
contig#19563	50	0	16	9	0	80	3	2	8	13	13	4
contig#19564	637	20	426	31	15	522	48	34	315	46	501	56
contig#19565	1928	9	490	56	15	1312	286	36	295	215	668	102
contig#19566	67	3	50	6	2	69	2	3	41	8	52	14
contig#19567	32	10	20	31	9	21	9	9	16	13	25	23
contig#19568	21	1	14	9	4	21	12	13	13	5	30	9
contig#19569	7	27	25	36	10	6	11	24	11	14	20	33
contig#1957	5108	472	3001	723	437	4035	769	1071	2474	737	4251	925
contig#19570	67	3	99	16	0	68	9	9	51	12	102	13
contig#19571	365	6	83	24	0	250	16	21	141	22	158	34
contig#19572	13	0	6	1	1	7	3	4	7	8	17	1
contig#19573	307	62	189	96	21	211	50	90	171	66	304	115
contig#19574	259	21	126	48	15	130	40	60	148	25	215	117
contig#19575	54	13	43	19	10	55	19	21	34	20	67	21
contig#19576	9	1	4	6	4	5	5	5	8	6	12	11
contig#19577	51	11	50	7	3	54	9	3	48	13	40	10
contig#19578	5	0	16	3	3	11	5	0	38	6	25	1
contig#19579	76	4	44	4	3	43	11	6	21	5	52	16
contig#1958	356	110	308	146	72	307	111	231	199	127	440	190
contig#19580	54	3	13	10	4	41	9	18	25	15	50	11
contig#19581	141	2	56	4	0	110	3	1	42	8	82	5
contig#19582	214	4	142	9	2	110	18	6	65	4	229	15
contig#19583	18	0	3	2	1	17	7	1	12	4	16	2
contig#19584	95	2	83	18	4	95	12	14	53	9	75	8
contig#19585	13	4	15	29	8	16	11	36	25	9	26	22
contig#19586	30	13	27	43	3	22	10	31	20	16	35	14
contig#19587	88	38	97	41	26	91	35	31	43	47	98	26
contig#19588	142	39	101	51	23	116	23	52	58	72	129	49
contig#19589	313	34	225	60	11	213	40	71	111	49	295	85
contig#1959	806	72	667	110	52	695	113	168	460	149	865	176
contig#19590	31	5	32	8	8	28	7	9	24	10	35	14
contig#19591	4	4	9	4	0	6	6	7	4	3	6	8
contig#19592	2215	3	68	39	66	899	723	58	96	405	374	54
contig#19593	56	2	14	0	0	21	5	0	31	2	23	0
contig#19594	61	52	79	45	15	58	39	75	62	27	55	68
contig#19595	6	12	19	19	4	6	8	23	18	8	28	14
contig#19596	84	0	36	2	0	65	9	7	24	3	64	2
contig#19597	22	31	39	58	28	11	24	23	18	35	55	41
contig#19598	95	11	190	31	2	155	18	38	92	30	87	23
contig#19599	26	10	42	17	4	27	3	8	29	14	40	12
contig#196	1305	129	915	209	46	1225	116	203	869	142	1062	161
contig#1960	2556	481	1612	935	146	1692	475	602	1345	555	2446	735
contig#19600	37	13	27	9	7	19	6	15	11	16	29	27
contig#19602	15	0	13	0	0	14	3	6	8	4	15	7
contig#19603	511	225	433	285	123	389	185	396	218	175	602	368
contig#19604	309	37	257	74	19	231	62	73	171	76	315	77
contig#19605	17	3	5	0	0	10	5	1	9	2	9	4
contig#19606	59	2	52	1	1	58	1	6	13	3	22	2
contig#19607	64	12	30	25	10	44	19	26	31	15	51	34
contig#19608	19	0	3	0	0	8	3	1	3	0	13	4
contig#19609	26	0	0	18	0	61	0	1	78	0	2	0
contig#1961	3085	205	2347	367	148	2710	321	500	1835	362	2883	536
contig#19610	29	3	12	10	1	8	8	10	13	11	29	12
contig#19611	15	0	11	2	1	21	1	4	31	0	4	3
contig#19612	157	13	57	11	0	106	2	1	124	7	41	6
contig#19613	601	127	423	110	168	518	267	231	278	220	614	138
contig#19614	69	22	87	43	12	79	35	34	38	35	112	64
contig#19615	73	3	28	9	3	33	19	12	24	8	65	19
contig#19616	55	2	47	9	7	48	4	2	29	8	60	7
contig#19617	86	43	130	52	35	84	43	67	47	40	176	45
contig#19618	39	1	11	3	1	37	10	7	18	10	28	6
contig#19619	30	0	10	7	4	17	18	10	12	15	24	14
contig#1962	613	79	492	155	31	524	65	128	310	110	647	139
contig#19621	287	43	276	42	15	271	47	65	181	41	406	66
contig#19622	103	12	98	22	9	100	16	18	58	22	117	21
contig#19623	117	29	50	15	0	85	2	0	78	5	41	5
contig#19624	336	25	52	73	16	168	66	49	125	56	203	57
contig#19625	28	7	25	11	3	11	4	8	16	2	22	7
contig#19626	160	4	86	4	2	80	11	7	51	15	102	8
contig#19627	61	10	16	7	4	15	16	13	28	26	33	11
contig#19628	236	17	99	22	12	168	15	27	132	27	222	51
contig#19629	17	8	9	20	4	16	7	7	16	4	28	14
contig#1963	449	162	302	185	59	430	149	194	216	122	519	199
contig#19630	202	28	150	41	27	206	40	58	87	47	250	59
contig#19631	40	14	26	27	5	18	14	53	52	5	23	31
contig#19632	60	4	37	0	0	27	2	6	53	3	60	0
contig#19633	103	10	61	24	5	80	12	28	82	8	96	35
contig#19634	153	6	104	5	6	116	10	13	60	15	113	18
contig#19635	91	1	20	11	0	37	6	3	22	4	69	5
contig#19636	34	63	36	71	13	17	30	37	39	68	57	62
contig#19637	17	6	9	19	16	11	9	58	23	6	29	42
contig#19639	91	7	16	45	2	41	14	25	25	8	85	49
contig#1964	13	0	3	2	0	3	2	3	9	2	6	3
contig#19640	117	12	50	13	5	77	10	17	41	17	84	14
contig#19641	6	0	8	1	0	14	1	3	6	3	7	7
contig#19642	359	93	201	148	32	222	106	171	192	92	386	228
contig#19643	39	6	27	6	3	26	17	33	31	24	41	18
contig#19644	404	273	270	314	255	281	134	334	270	312	355	284
contig#19645	65	43	73	83	21	51	75	74	36	65	100	88
contig#19646	59	0	27	0	3	45	1	5	14	8	43	0
contig#19647	39	23	47	1	0	66	19	0	77	90	96	19
contig#19648	55	7	46	19	6	61	11	19	47	9	66	21
contig#19649	41	4	46	10	5	40	8	12	20	7	33	16
contig#1965	1699	464	800	939	285	1047	818	948	734	846	1473	1047
contig#19650	112	66	95	84	29	110	32	116	74	76	135	90
contig#19651	150	32	44	51	10	35	24	52	114	10	108	45
contig#19652	42	20	22	12	2	10	16	19	24	6	37	27
contig#19653	4	20	2	59	21	3	6	15	11	5	8	19
contig#19654	168	22	77	46	14	116	45	36	88	43	147	65
contig#19655	35	17	17	17	2	21	7	15	14	14	43	15
contig#19656	41	20	7	13	0	21	2	1	28	12	8	6
contig#19657	41	6	31	19	2	45	16	14	31	12	44	21
contig#19658	10	8	18	7	11	5	22	26	31	11	34	7
contig#19659	22	0	9	2	0	21	2	0	6	3	12	2
contig#1966	1089	192	806	212	114	908	224	376	521	199	1080	297
contig#19660	48	30	51	56	17	41	32	54	42	19	84	49
contig#19661	173	22	111	28	45	141	110	57	40	135	225	47
contig#19662	157	51	142	81	40	99	68	106	83	39	187	109
contig#19663	268	49	156	68	31	182	85	135	140	103	203	130
contig#19664	751	19	119	27	18	278	48	38	236	56	300	75
contig#19665	411	0	36	18	3	266	47	19	37	25	69	20
contig#19666	219	6	111	6	0	223	3	8	108	7	132	11
contig#19667	186	30	160	38	37	158	97	83	60	140	244	25
contig#19668	169	74	157	89	19	174	29	98	156	57	239	61
contig#19669	515	31	240	43	31	288	90	83	207	61	327	91
contig#1967	125	25	73	39	22	86	56	60	60	55	110	52
contig#19670	197	32	230	70	16	175	53	65	83	52	223	76
contig#19671	73	28	76	24	22	79	31	44	44	39	112	48
contig#19672	34	1	27	1	0	16	5	1	14	0	50	0
contig#19673	338	15	293	24	5	161	26	67	31	11	534	40
contig#19674	411	23	660	14	97	335	142	85	96	258	730	8
contig#19675	23	0	6	1	0	22	10	2	23	16	34	3
contig#19676	26	4	10	9	7	13	13	8	14	12	15	9
contig#19677	36	18	25	21	4	18	12	21	22	8	47	27
contig#19678	17	1	17	1	1	29	2	1	14	1	17	4
contig#19679	173	49	160	48	13	118	39	70	88	43	187	61
contig#1968	4719	173	2248	410	2037	3202	4977	2908	1010	4132	3318	436
contig#19680	330	21	151	17	56	303	158	95	239	162	286	16
contig#19681	83	2	61	4	1	62	5	4	30	2	56	15
contig#19682	316	36	185	55	24	247	25	42	121	49	233	47
contig#19683	684	8	5	13	3	298	216	20	71	65	48	39
contig#19684	277	38	238	52	39	193	76	78	99	93	286	107
contig#19685	96	5	41	10	4	56	18	21	52	31	74	14
contig#19686	10	1	3	2	2	10	0	0	8	3	5	2
contig#19687	53	9	51	9	8	56	10	8	30	9	55	16
contig#19688	5	3	3	7	1	4	0	2	4	2	3	6
contig#19689	55	1	29	6	1	13	1	3	29	2	30	4
contig#1969	61	8	86	4	5	72	11	10	60	16	88	7
contig#19690	377	44	321	81	25	307	70	98	188	77	422	81
contig#19691	78	26	74	25	14	118	17	37	52	30	118	42
contig#19692	779	30	609	62	7	627	50	60	268	81	509	51
contig#19693	110	42	88	48	10	69	49	103	51	62	118	89
contig#19694	36	2	25	1	0	17	0	3	17	0	22	2
contig#19695	39	10	29	17	4	13	15	25	34	10	38	35
contig#19696	4	0	33	4	0	1	31	13	6	1	48	2
contig#19697	36	0	4	4	0	13	1	3	9	1	13	7
contig#19698	40	3	55	10	0	66	5	6	36	2	51	4
contig#19699	8	6	0	0	0	15	0	0	16	0	0	0
contig#197	5332	1309	4401	2731	850	4047	1329	1760	3353	1608	6729	2202
contig#1970	915	231	436	291	78	647	191	415	582	147	869	463
contig#19700	410	52	120	51	1	222	17	8	208	28	71	28
contig#19701	619	26	283	79	11	411	90	102	270	73	511	111
contig#19702	211	22	117	37	5	136	34	32	106	33	167	63
contig#19703	295	146	229	160	233	261	164	183	201	299	350	162
contig#19704	232	167	158	362	93	157	261	287	103	320	251	334
contig#19705	166	103	135	146	48	135	71	147	67	53	205	229
contig#19706	35	8	35	16	0	41	0	1	42	1	19	5
contig#19707	31	1	17	5	3	25	0	7	25	1	19	1
contig#19708	36	0	19	6	0	30	4	4	17	3	30	7
contig#19709	81	10	33	10	1	46	14	7	33	5	56	4
contig#1971	654	92	719	131	66	647	93	184	374	164	733	164
contig#19710	40	15	20	0	0	45	1	2	21	5	17	4
contig#19711	76	89	97	162	25	62	49	81	59	80	110	147
contig#19712	29	9	21	34	10	23	16	31	13	19	38	13
contig#19713	456	137	363	184	93	327	113	234	179	133	451	222
contig#19714	102	2	109	4	3	134	9	8	83	14	111	15
contig#19715	171	50	261	25	19	200	45	62	85	21	209	30
contig#19716	54	7	29	13	4	35	15	20	29	12	54	26
contig#19717	20	1	26	4	0	35	1	0	8	4	10	3
contig#19718	47	9	37	7	3	45	4	5	27	4	52	19
contig#19719	128	5	59	7	6	84	5	2	60	7	123	15
contig#1972	2196	310	1838	456	135	1849	385	638	1189	457	2200	566
contig#19720	148	25	16	43	0	56	9	6	95	8	17	7
contig#19721	42	34	66	93	21	43	41	42	52	36	69	44
contig#19722	252	58	152	87	24	223	70	104	165	46	310	106
contig#19723	504	5	233	18	5	409	67	21	93	74	331	29
contig#19724	63	16	54	19	8	55	13	23	42	15	75	23
contig#19725	213	39	185	60	17	190	31	69	133	58	230	69
contig#19726	137	71	90	62	44	134	75	145	59	26	102	58
contig#19727	167	7	103	7	0	127	25	20	61	30	134	19
contig#19728	65	0	15	3	4	37	7	0	32	1	53	18
contig#19729	60	1	8	5	3	21	2	4	27	1	28	8
contig#1973	3198	288	2374	451	190	2838	475	605	1582	425	3208	573
contig#19730	418	0	4	7	5	210	30	5	65	40	56	29
contig#19731	197	30	115	31	12	142	29	44	87	30	158	61
contig#19732	40	11	46	2	1	34	3	5	19	3	52	10
contig#19733	40	19	59	42	5	33	19	64	48	61	71	54
contig#19734	15	0	10	2	0	17	1	2	4	5	11	4
contig#19735	10	3	3	1	0	14	0	2	14	3	6	3
contig#19736	120	9	129	9	1	117	8	2	63	13	127	1
contig#19737	15	1	7	0	0	15	0	0	6	0	4	1
contig#19738	173	13	116	12	17	157	43	30	85	66	133	9
contig#19739	11	17	5	16	8	6	14	22	8	8	26	34
contig#1974	1809	614	1115	726	181	1389	528	868	1000	351	1922	899
contig#19740	182	37	126	35	18	131	26	80	173	34	117	16
contig#19741	34	12	2	2	1	48	10	15	4	15	8	8
contig#19742	21	0	0	0	0	2	102	0	0	4	6	0
contig#19743	326	15	188	23	17	252	52	34	141	47	232	33
contig#19744	31	5	29	14	2	26	10	5	15	6	31	10
contig#19745	87	5	30	1	0	54	8	11	27	8	35	7
contig#19746	146	21	78	63	11	86	39	62	54	41	150	54
contig#19747	11	0	3	0	0	13	0	1	2	0	8	0
contig#19748	43	2	21	6	4	31	4	6	18	6	29	6
contig#19749	166	20	94	17	4	236	19	21	122	25	94	9
contig#1975	978	174	568	307	114	722	218	316	488	197	1075	355
contig#19750	71	7	27	6	0	34	20	8	12	8	44	26
contig#19751	44	31	36	70	33	36	32	47	28	61	52	83
contig#19752	67	1	4	1	0	31	14	4	24	7	19	5
contig#19753	31	7	31	19	0	14	6	2	46	0	17	6
contig#19754	28	0	8	0	0	24	5	1	3	6	19	0
contig#19755	10	4	2	0	0	6	0	0	2	2	1	0
contig#19756	145	0	84	4	0	62	5	11	22	15	133	19
contig#19757	47	11	61	8	2	47	12	34	36	14	51	13
contig#19758	45	11	27	16	0	47	4	26	57	6	53	51
contig#19759	203	57	108	42	39	147	87	128	82	135	117	85
contig#1976	200	128	128	172	60	162	113	213	124	91	252	152
contig#19760	60	4	34	7	2	51	3	4	37	2	41	10
contig#19761	152	5	81	6	1	93	8	5	50	10	108	19
contig#19762	24	4	12	4	0	20	1	6	20	5	13	8
contig#19763	380	158	222	207	94	233	205	305	185	177	396	363
contig#19764	6	2	0	0	0	3	0	0	9	1	1	0
contig#19765	68	5	126	0	3	132	4	5	33	5	85	1
contig#19766	420	46	262	88	37	299	86	129	222	103	362	118
contig#19767	22	9	16	17	4	9	9	3	17	13	22	16
contig#19768	129	27	79	61	24	86	39	94	75	38	126	53
contig#19769	143	9	51	13	6	94	21	20	62	31	70	26
contig#1977	1457	105	1008	220	31	1291	114	234	699	163	1237	231
contig#19770	22	85	24	273	74	9	19	58	51	17	34	183
contig#19771	263	121	144	216	87	151	182	293	162	163	291	312
contig#19772	21	2	17	3	0	28	2	5	22	6	11	3
contig#19773	65	16	28	31	5	43	20	32	39	24	34	41
contig#19774	11	3	11	3	5	9	2	9	5	2	14	17
contig#19775	119	7	12	16	8	74	88	44	39	50	48	33
contig#19776	584	14	212	73	23	348	52	36	238	26	507	85
contig#19777	316	57	166	135	25	200	85	116	137	111	241	161
contig#19778	10	0	2	1	0	8	0	0	6	2	6	3
contig#19779	59	20	28	20	7	29	13	28	22	22	49	19
contig#1978	629	40	306	71	22	599	81	73	228	99	396	79
contig#19780	1	3	3	4	1	1	1	2	6	2	2	8
contig#19781	141	48	96	68	28	105	77	75	106	61	149	80
contig#19782	25	15	18	29	7	29	14	48	15	11	36	12
contig#19783	202	33	172	43	25	190	30	63	89	68	220	67
contig#19784	216	10	124	15	4	190	8	15	81	16	158	16
contig#19785	23	0	5	0	0	27	0	0	17	1	10	2
contig#19786	98	15	88	28	11	85	11	36	66	28	92	26
contig#19787	57	67	35	85	23	19	63	71	54	89	120	158
contig#19788	65	11	44	25	6	47	24	26	45	13	59	14
contig#19789	248	105	183	240	76	161	138	228	124	125	262	297
contig#1979	673	197	454	241	100	570	162	305	284	161	729	249
contig#19790	48	2	28	7	0	53	5	1	18	12	40	3
contig#19791	316	51	106	89	12	188	53	105	176	25	261	97
contig#19792	10	0	16	2	0	2	0	1	15	0	9	1
contig#19793	16	7	10	0	1	15	9	13	5	10	9	6
contig#19794	21	2	15	5	2	14	6	15	9	5	19	11
contig#19795	27	0	18	0	0	37	3	3	9	14	16	0
contig#19796	63	0	41	21	0	31	4	7	52	2	51	8
contig#19797	106	32	29	102	41	48	91	112	66	25	103	149
contig#19798	11	5	7	2	1	8	7	4	12	7	18	2
contig#19799	72	0	3	0	0	66	1	0	8	0	24	1
contig#198	6396	97	2981	289	464	3795	1135	479	1171	2045	4676	195
contig#1980	1160	134	933	241	47	904	191	266	545	307	1129	348
contig#19800	60	4	21	10	10	30	27	28	14	36	31	10
contig#19801	1	3	4	14	3	2	4	1	4	0	4	7
contig#19802	12	1	0	11	0	3	6	6	3	5	3	11
contig#19803	421	21	290	51	19	479	50	70	188	64	416	76
contig#19804	39	0	28	3	3	32	14	7	18	14	41	4
contig#19805	161	13	121	38	24	142	22	39	88	22	145	35
contig#19806	89	3	59	6	9	91	8	6	39	6	83	6
contig#19807	30	14	24	13	5	18	11	21	42	11	44	30
contig#19808	136	37	162	71	23	138	72	132	90	62	195	71
contig#19809	504	4	51	19	6	157	26	16	83	11	255	22
contig#1981	2093	160	2127	234	40	2491	122	211	1443	169	2170	246
contig#19810	122	10	95	26	12	72	22	15	43	34	116	26
contig#19811	19	0	1	0	0	16	1	0	4	0	8	0
contig#19812	193	16	75	22	13	132	30	18	59	43	139	25
contig#19813	164	14	137	22	5	129	22	32	75	26	170	33
contig#19814	31	21	26	19	3	23	14	18	27	16	40	31
contig#19815	338	28	168	32	10	254	60	41	141	44	294	40
contig#19816	208	29	190	41	31	151	43	68	112	52	241	62
contig#19817	20	0	1	0	0	2	1	1	7	0	0	6
contig#19818	15	0	7	0	0	10	5	2	8	1	7	1
contig#19819	131	30	126	46	28	119	44	72	82	47	173	44
contig#1982	411	31	175	65	32	668	41	43	176	62	256	38
contig#19820	145	26	78	48	19	110	28	25	89	67	99	12
contig#19821	39	7	32	7	1	45	9	9	34	9	17	15
contig#19822	305	20	184	48	18	280	63	39	88	124	224	31
contig#19823	36	15	44	23	13	35	7	29	56	19	56	19
contig#19824	45	16	23	36	9	61	17	23	35	27	52	21
contig#19825	20	11	8	16	1	19	5	20	18	4	31	4
contig#19826	371	40	233	42	23	310	48	66	191	48	369	66
contig#19827	109	55	89	111	30	69	80	171	79	71	147	136
contig#19828	54	5	27	11	2	34	1	4	25	10	40	5
contig#19829	20	14	0	2	0	7	3	0	52	4	10	0
contig#1983	1519	29	138	139	28	1077	235	78	309	128	332	221
contig#19830	329	29	161	65	26	162	79	97	92	62	355	109
contig#19831	187	15	114	23	13	153	21	36	74	28	149	40
contig#19832	70	8	46	2	0	33	19	4	25	3	40	8
contig#19833	17	0	9	1	1	17	0	2	12	1	14	2
contig#19834	51	2	28	0	0	129	0	4	16	1	24	2
contig#19835	107	26	73	27	10	73	29	53	94	31	113	41
contig#19836	10	5	10	4	0	6	3	4	3	5	21	2
contig#19837	237	16	225	35	11	179	30	40	129	50	251	47
contig#19838	86	1	1	7	3	46	25	11	14	23	21	6
contig#19839	19	1	9	9	3	10	11	7	13	7	10	4
contig#1984	2979	293	1948	440	118	2289	380	643	1415	406	2811	588
contig#19840	90	8	61	14	3	41	10	25	46	16	73	19
contig#19841	211	36	185	89	23	178	43	78	97	64	218	74
contig#19842	142	0	1	9	8	15	47	13	30	14	40	37
contig#19843	32	7	25	8	10	26	32	22	39	16	33	0
contig#19844	18	18	16	31	21	11	17	44	22	10	34	19
contig#19845	34	20	32	20	6	22	18	19	16	19	50	35
contig#19846	80	4	8	6	0	94	67	3	15	40	6	5
contig#19847	24	3	27	9	8	31	2	4	9	4	30	8
contig#19848	34	3	11	3	0	29	2	1	14	2	25	5
contig#19849	65	40	29	72	14	33	47	58	40	28	55	73
contig#1985	4025	185	1204	388	109	2089	496	486	1282	813	1648	552
contig#19850	75	6	0	34	7	35	118	5	84	79	30	44
contig#19851	24	10	31	16	4	18	7	12	10	15	44	18
contig#19852	83	1	3	5	5	34	49	6	43	25	37	27
contig#19853	227	17	107	28	14	122	38	42	91	30	182	57
contig#19854	10	7	12	16	1	7	5	7	5	5	11	8
contig#19855	17	3	34	4	12	25	7	13	31	8	47	7
contig#19856	60	6	73	12	4	95	3	5	57	7	55	5
contig#19857	25	10	21	27	3	35	8	20	18	14	34	19
contig#19858	47	19	62	37	5	30	19	44	69	31	60	35
contig#19859	405	20	271	26	13	336	49	29	191	32	341	51
contig#1986	309	40	291	33	358	197	483	518	273	383	429	49
contig#19860	348	36	263	34	4	193	41	39	141	33	356	48
contig#19861	92	12	65	26	5	63	21	35	54	24	111	38
contig#19862	256	99	170	138	45	181	67	144	110	105	255	191
contig#19863	10	0	6	4	3	6	1	2	9	2	16	7
contig#19864	48	70	38	54	16	44	71	86	61	56	52	95
contig#19865	45	16	35	15	9	23	13	36	22	15	41	16
contig#19866	321	13	158	57	15	209	44	48	192	42	313	84
contig#19867	196	68	160	55	23	202	40	80	158	57	294	87
contig#19868	7	1	9	0	0	4	1	0	4	2	6	4
contig#19869	55	3	56	3	6	65	5	5	24	8	85	7
contig#1987	405	80	398	134	25	322	116	184	247	182	452	236
contig#19870	145	18	69	19	8	74	33	24	73	21	112	17
contig#19871	388	46	301	79	23	290	89	61	159	117	414	65
contig#19872	291	30	277	44	19	389	28	46	195	38	328	20
contig#19873	84	7	72	24	4	69	9	18	29	14	83	13
contig#19874	118	4	21	10	4	91	3	9	47	1	89	20
contig#19875	158	32	81	48	17	97	42	71	54	47	124	73
contig#19876	214	58	175	51	24	167	60	77	86	58	227	94
contig#19877	84	33	48	55	17	75	32	60	66	22	83	48
contig#19878	155	40	147	89	24	143	36	101	72	43	241	98
contig#19879	147	34	45	28	0	69	18	16	65	20	75	30
contig#1988	249	96	301	133	51	370	114	189	203	146	315	151
contig#19880	75	16	66	18	6	47	13	27	40	11	61	12
contig#19881	26	1	11	0	0	13	2	1	4	2	14	0
contig#19882	46	1	19	3	0	33	9	5	21	9	21	3
contig#19883	45	43	64	95	25	30	21	71	53	46	82	83
contig#19884	228	50	110	98	30	131	84	116	137	87	211	131
contig#19885	24	8	20	6	8	23	7	15	11	11	33	11
contig#19886	72	4	43	5	3	61	8	4	19	7	54	5
contig#19887	17	0	0	12	5	47	17	14	3	24	6	9
contig#19888	107	9	91	30	9	103	6	14	47	17	110	35
contig#19889	80	5	23	13	4	30	5	52	90	5	60	16
contig#1989	3171	53	409	177	47	1304	1408	282	1026	626	969	376
contig#19890	37	2	13	3	8	56	13	3	31	8	43	1
contig#19891	756	140	510	215	49	644	133	222	470	158	737	273
contig#19892	224	12	143	14	4	126	28	17	64	16	255	24
contig#19893	85	20	100	69	56	227	152	111	92	235	185	9
contig#19894	105	36	96	48	12	61	23	69	63	42	101	61
contig#19895	215	11	93	29	5	121	26	19	56	29	121	22
contig#19896	50	8	25	13	6	19	4	55	63	8	23	46
contig#19897	101	20	309	25	298	83	32	613	91	80	234	29
contig#19898	25	4	18	3	1	14	5	2	17	3	27	13
contig#19899	104	11	59	16	1	120	8	13	58	22	86	15
contig#199	217	7	143	12	9	129	13	13	84	20	166	16
contig#1990	797	102	525	181	44	575	150	152	503	170	689	258
contig#19900	87	4	43	8	2	56	9	3	35	11	61	8
contig#19901	75	3	53	12	3	72	8	17	33	12	48	4
contig#19902	268	151	282	197	44	270	79	227	192	91	402	209
contig#19903	92	12	95	7	6	89	19	41	62	27	118	32
contig#19904	243	26	152	30	10	190	23	24	134	26	173	44
contig#19905	77	3	44	13	1	54	5	6	36	7	42	8
contig#19906	9	0	2	0	1	3	0	2	4	1	5	0
contig#19907	81	31	56	27	5	53	10	40	34	15	72	87
contig#19908	36	16	49	33	12	33	14	54	34	32	41	36
contig#19909	42	1	33	0	0	35	0	0	18	1	23	1
contig#1991	1439	145	1034	224	61	1391	198	297	719	240	1357	269
contig#19910	704	8	235	21	26	298	77	43	82	109	420	25
contig#19911	85	27	45	36	4	101	40	44	67	44	110	64
contig#19912	7	14	7	19	17	0	3	21	4	20	10	19
contig#19913	2	5	4	2	1	2	3	6	6	4	2	3
contig#19914	43	25	47	47	5	27	16	40	32	31	63	39
contig#19915	656	35	377	41	16	380	100	49	208	77	497	54
contig#19916	38	3	20	4	1	30	14	7	26	7	33	7
contig#19917	47	13	36	15	7	33	24	39	39	17	39	36
contig#19918	198	40	43	63	36	135	223	72	104	99	108	116
contig#19919	8	0	15	0	0	5	2	0	4	0	7	0
contig#1992	549	38	237	55	5	348	28	30	180	49	337	38
contig#19920	334	52	130	118	25	150	90	95	184	45	268	123
contig#19921	7	5	7	14	0	8	0	3	46	4	2	9
contig#19922	32	26	59	55	11	26	29	54	39	42	68	64
contig#19923	32	0	42	5	4	32	0	2	15	5	34	5
contig#19924	238	45	121	94	26	151	43	123	119	71	182	115
contig#19925	7	1	1	1	1	2	0	2	3	2	0	0
contig#19926	49	6	39	4	1	49	32	3	59	43	63	1
contig#19927	192	44	209	87	13	157	41	55	87	53	250	74
contig#19928	23	3	10	0	0	32	0	0	22	1	21	1
contig#19929	71	11	19	23	6	32	32	33	29	26	47	14
contig#1993	191	43	152	76	14	181	21	75	150	50	269	94
contig#19930	60	0	49	4	0	36	1	5	47	0	52	4
contig#19931	130	3	75	1	6	78	11	15	27	33	123	3
contig#19932	326	4	11	12	3	90	21	3	21	10	193	38
contig#19933	280	89	288	133	54	222	96	149	186	80	363	160
contig#19934	110	34	121	31	24	89	35	95	72	38	129	45
contig#19935	8	1	9	2	2	2	6	5	5	3	7	8
contig#19936	737	66	349	90	46	340	122	151	227	108	528	104
contig#19937	793	15	441	32	23	573	48	36	146	65	729	29
contig#19938	244	23	194	28	15	193	55	49	136	42	267	54
contig#19939	187	44	116	72	17	129	47	94	180	57	217	105
contig#1994	1080	99	606	121	27	846	97	142	675	121	932	181
contig#19940	65	27	59	40	15	39	48	74	41	39	71	54
contig#19941	72	15	50	12	6	72	15	21	24	9	62	18
contig#19942	62	5	78	11	1	58	8	4	41	8	38	5
contig#19943	262	8	91	21	8	316	46	29	64	42	230	22
contig#19944	360	21	188	57	7	223	47	43	121	38	257	83
contig#19945	64	11	18	25	3	30	48	45	21	29	19	36
contig#19946	99	44	93	44	24	118	41	83	63	30	130	70
contig#19947	82	8	69	60	12	163	16	69	124	15	118	55
contig#19948	398	44	208	88	38	258	206	138	142	261	312	117
contig#19949	180	35	104	16	9	143	18	20	88	20	154	23
contig#1995	2368	176	1157	242	44	1727	206	200	1076	201	1789	290
contig#19950	195	4	67	2	0	139	3	5	57	7	85	13
contig#19951	20	1	1	1	0	2	0	1	13	0	2	0
contig#19952	142	10	59	22	0	127	9	11	124	15	83	17
contig#19953	63	19	75	17	14	36	31	20	40	20	101	36
contig#19954	105	13	76	20	26	61	43	59	27	36	100	41
contig#19955	250	27	160	61	13	128	50	67	82	68	244	71
contig#19956	95	7	90	8	2	105	9	8	49	6	108	15
contig#19957	167	10	119	5	7	130	11	12	68	26	161	11
contig#19958	44	12	47	9	7	35	6	8	25	13	45	6
contig#19959	82	24	92	35	7	72	12	24	86	20	97	41
contig#1996	852	14	23	79	2	831	553	23	72	229	24	22
contig#19960	20	13	9	12	2	19	8	14	17	8	32	25
contig#19961	87	98	75	147	34	47	55	118	123	91	180	195
contig#19962	84	18	51	12	4	52	9	24	55	13	66	29
contig#19964	47	1	0	2	0	5	1	1	15	0	13	2
contig#19965	4	0	0	5	0	9	22	1	27	10	4	13
contig#19966	17	4	7	1	1	13	2	1	10	3	9	1
