Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#2698	55	40	394	501	51	289	537	32	25	18	89
contig#26980	83	194	139	233	92	97	153	109	193	77	181
contig#26981	12	28	30	57	12	46	43	16	23	0	39
contig#26982	41	40	129	187	37	73	172	26	67	16	62
contig#26983	8	12	56	44	3	48	36	0	8	0	8
contig#26984	1	2	4	4	7	8	23	0	2	0	3
contig#26986	7	14	13	20	6	20	12	7	9	2	43
contig#26988	20	9	73	79	7	38	81	16	16	5	28
contig#26989	19	35	35	44	12	30	39	22	16	11	41
contig#2699	43	13	225	371	25	239	592	58	20	2	24
contig#26990	1	2	10	5	1	3	8	0	5	0	2
contig#26991	6	4	192	76	6	32	196	1	0	0	5
contig#26992	54	32	128	193	44	72	219	15	17	19	38
contig#26993	9	53	10	23	24	18	19	13	37	5	55
contig#26994	2	4	35	13	1	14	15	4	12	0	0
contig#26995	2	2	18	18	2	10	34	1	3	0	0
contig#26996	12	32	49	52	12	30	54	15	16	3	20
contig#26997	53	20	160	294	36	106	350	13	20	3	35
contig#26998	25	57	53	96	14	36	68	23	62	13	63
contig#26999	2	3	28	24	0	18	50	1	0	0	2
contig#27	20	6	55	92	16	63	156	10	8	1	22
contig#270	656	1039	2035	2997	590	1325	2453	672	985	333	1069
contig#2700	51	24	191	340	43	233	226	46	35	8	22
contig#27000	1	3	4	4	3	21	2	2	30	5	8
contig#27001	67	82	40	74	67	22	49	34	90	26	86
contig#27002	21	51	43	94	44	60	100	37	61	14	46
contig#27003	2	2	27	43	2	17	56	2	6	0	1
contig#27004	297	259	98	109	101	36	52	100	194	188	165
contig#27005	4	10	31	32	4	6	30	3	7	1	4
contig#27006	16	13	57	51	20	12	51	14	5	1	9
contig#27007	15	8	51	70	23	16	222	10	10	2	7
contig#27008	2	3	45	32	3	19	91	1	3	0	2
contig#27009	67	51	333	468	48	204	602	33	39	19	48
contig#2701	237	271	974	1203	250	707	1036	115	196	56	270
contig#27011	12	6	63	33	6	25	47	7	6	4	8
contig#27012	27	31	96	124	27	66	133	17	28	9	58
contig#27013	17	18	41	78	23	35	65	15	20	10	18
contig#27014	2	1	2	6	0	4	6	3	0	3	0
contig#27015	14	8	57	76	8	47	93	7	9	8	20
contig#27016	2	7	4	5	1	13	9	2	0	0	0
contig#27017	12	20	21	48	34	30	40	4	9	9	12
contig#27018	79	93	56	75	86	64	78	43	57	17	123
contig#27019	6	6	54	48	4	49	107	4	5	2	15
contig#2702	204	128	824	873	198	534	1006	88	125	36	106
contig#27020	15	9	93	76	14	29	77	7	19	1	11
contig#27021	9	22	49	89	10	36	75	6	12	0	22
contig#27022	10	20	33	61	21	50	46	16	21	1	29
contig#27023	1	4	4	11	1	7	5	3	2	0	1
contig#27024	28	37	92	83	13	56	61	10	27	7	7
contig#27025	9	1	39	10	14	97	194	55	45	0	16
contig#27026	4	3	2	6	1	6	5	2	6	2	12
contig#27027	16	41	24	44	9	27	22	27	51	13	47
contig#27029	32	36	97	177	19	118	198	6	12	16	41
contig#2703	197	274	1073	1492	118	611	928	177	220	96	305
contig#27030	10	5	132	124	17	35	138	9	7	5	0
contig#27031	44	2	16	72	91	51	151	6	12	16	31
contig#27032	16	18	39	56	7	37	39	7	12	2	9
contig#27033	5	2	7	6	0	6	8	1	0	1	0
contig#27034	1	6	2	3	2	2	7	2	3	1	0
contig#27035	5	10	33	46	8	32	68	5	13	6	35
contig#27036	3	2	5	18	3	53	25	3	1	0	3
contig#27037	11	19	32	47	15	16	36	19	24	3	20
contig#27038	46	38	130	111	63	65	190	31	34	18	51
contig#27039	5	13	45	56	2	37	46	3	4	2	6
contig#2704	479	716	960	1680	625	1163	1939	395	619	240	949
contig#27040	10	1	27	18	4	7	51	0	3	1	2
contig#27041	47	52	36	59	55	18	86	8	34	13	37
contig#27042	1	0	18	13	0	9	17	1	0	0	0
contig#27043	43	105	48	128	50	57	63	41	46	14	74
contig#27044	1	0	8	6	0	6	7	0	0	0	1
contig#27046	6	6	0	7	23	10	33	2	0	2	9
contig#27047	4	4	5	16	3	5	18	2	0	0	5
contig#27048	143	53	237	331	77	138	503	14	21	38	10
contig#27049	5	6	11	19	9	12	21	0	2	0	7
contig#2705	198	346	575	674	146	289	547	156	262	67	308
contig#27050	2	1	4	4	3	2	10	3	1	1	2
contig#27051	5	4	4	10	11	8	14	0	2	2	5
contig#27053	3	12	20	27	7	12	33	1	5	3	17
contig#27054	26	10	9	29	15	23	77	4	9	5	9
contig#27055	2	1	6	6	1	9	9	1	4	4	2
contig#27056	315	171	1352	2005	302	697	2221	51	91	114	100
contig#27057	17	60	48	75	10	74	28	84	46	14	61
contig#27058	6	20	6	13	7	18	11	3	4	6	20
contig#27059	1	3	4	3	2	4	6	3	0	2	1
contig#2706	154	239	297	499	195	170	390	152	198	97	229
contig#27060	54	3	29	126	66	45	339	9	28	2	10
contig#27061	194	251	362	480	110	173	286	167	219	63	249
