Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#15001	248	335	179	272	422	140	312	274	194	64	119	247
contig#15002	6	83	61	26	65	1	20	48	3	2	8	72
contig#15004	65	232	169	75	231	26	65	141	27	10	44	181
contig#15005	9	28	19	6	27	2	4	24	4	2	2	42
contig#15006	27	110	212	6	29	4	4	39	14	0	74	201
contig#15007	64	483	192	84	415	73	88	294	51	18	39	365
contig#15008	7	30	8	15	40	10	10	13	16	4	2	14
contig#15009	14	195	74	31	171	15	13	105	20	7	9	193
contig#1501	248	1251	734	359	1250	236	343	920	294	111	141	1198
contig#15010	34	129	145	23	54	7	4	85	8	1	21	143
contig#15011	70	222	105	81	280	75	75	198	106	21	61	195
contig#15012	42	130	78	42	134	21	45	97	25	13	18	106
contig#15013	2	89	26	90	26	47	2	1	8	21	0	24
contig#15014	1	17	23	0	6	2	0	15	2	0	0	7
contig#15015	67	613	220	98	767	175	221	581	195	52	67	426
contig#15016	5	42	7	4	15	4	6	31	7	0	2	37
contig#15017	12	215	61	18	190	56	20	104	73	14	20	135
contig#15018	416	928	493	295	562	330	252	257	263	53	135	526
contig#15019	81	237	119	85	231	58	117	210	64	19	45	178
contig#1502	857	7007	4202	1343	6436	1104	1417	4573	1019	504	643	5141
contig#15020	129	285	147	182	323	89	148	180	61	42	97	211
contig#15021	173	655	314	256	656	188	200	436	254	90	106	491
contig#15022	24	54	30	41	26	7	29	27	13	3	9	32
contig#15023	7	75	8	1	7	2	7	3	5	0	2	53
contig#15024	38	234	79	45	188	45	82	147	36	8	28	138
contig#15025	16	170	80	21	232	7	5	163	10	1	8	141
contig#15026	16	61	42	11	45	4	7	49	7	6	6	62
contig#15027	21	106	80	19	137	26	20	136	19	5	14	125
contig#15028	3	14	27	10	22	3	10	17	2	1	1	32
contig#15029	2	4	9	5	2	0	0	0	1	0	1	5
contig#1503	433	2797	1366	538	2814	501	703	1811	534	254	382	2476
contig#15030	4	2	2	4	4	0	1	6	2	1	2	4
