Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10114	8	7	41	90	11	40	1	65	1	11	51	11
contig#10115	72	60	84	224	68	106	7	29	17	46	124	259
contig#10116	11	10	148	53	24	223	3	251	62	36	206	10
contig#10117	22	28	35	117	15	76	8	61	6	29	67	38
contig#10118	518	182	403	2390	227	451	43	230	85	208	1699	404
contig#10119	25	27	65	107	37	106	1	76	13	23	77	18
contig#1012	16	35	74	82	60	122	10	73	18	70	71	13
contig#10120	105	31	436	414	63	1099	7	1177	79	133	868	21
contig#10121	26	9	54	93	11	80	6	54	12	16	60	16
contig#10122	52	67	71	128	50	157	17	131	42	62	104	25
contig#10123	72	57	178	495	66	263	13	111	33	40	287	85
contig#10124	526	618	679	1493	514	1681	186	1173	308	558	1248	348
contig#10125	26	34	376	1004	108	612	11	196	24	31	434	81
contig#10126	16	4	257	178	12	335	2	162	10	18	257	14
contig#10127	49	48	47	60	31	42	20	37	36	41	61	37
contig#10128	197	273	444	759	318	912	79	789	142	294	683	142
contig#10129	293	502	155	183	412	224	191	182	599	294	192	204
contig#1013	340	1616	1769	3793	1208	2910	248	1092	136	723	1754	539
contig#10130	104	20	429	582	30	803	16	609	23	65	786	102
contig#10131	95	61	339	902	105	769	38	582	47	89	659	81
contig#10132	40	38	205	366	46	352	10	414	25	38	487	27
contig#10133	14	59	61	90	18	28	1	31	39	7	43	12
contig#10134	15	6	52	96	13	90	5	54	7	18	82	19
contig#10136	88	203	426	936	89	795	24	698	69	76	691	78
contig#10137	17	21	113	312	43	233	3	175	6	17	240	17
contig#10138	39	182	352	274	150	172	16	202	53	228	136	64
contig#1014	24	12	39	74	20	64	2	54	5	5	89	9
contig#10140	185	181	389	971	235	825	84	668	132	221	705	161
contig#10141	236	185	155	343	181	283	46	156	100	169	229	174
contig#10142	76	110	144	343	96	286	32	203	58	108	257	63
contig#10143	4	2	1	6	2	7	0	9	2	1	4	2
contig#10144	2	1	5	20	0	12	0	24	0	1	25	0
contig#10145	28	90	71	117	106	209	20	119	52	84	82	49
contig#10146	45	63	181	321	37	283	13	244	33	47	317	32
contig#10147	29	38	225	446	42	244	8	186	15	26	286	32
contig#10148	74	69	843	1524	181	1454	17	1013	44	83	1215	65
contig#10149	215	500	542	983	544	874	110	559	189	380	724	197
contig#1015	104	114	252	637	150	541	34	377	58	123	398	109
contig#10151	61	78	396	515	96	481	19	292	55	78	370	66
contig#10152	54	83	347	519	15	95	0	174	80	2	338	11
contig#10153	178	221	272	680	226	716	85	496	115	248	489	148
contig#10154	28	42	78	142	44	167	17	91	24	37	118	22
contig#10155	864	202	147	1202	113	481	632	502	155	356	665	599
contig#10156	39	59	248	237	75	231	23	67	17	60	99	67
contig#10157	83	119	118	137	248	165	31	56	49	165	78	142
contig#10158	116	117	319	766	125	735	27	603	63	102	583	84
contig#10159	26	63	142	277	37	235	6	198	36	19	263	21
contig#1016	7485	4927	9524	19754	6397	21688	4752	11977	4584	11030	15603	7835
contig#10160	34	40	52	119	73	154	9	97	35	61	66	43
contig#10161	65	137	388	845	242	884	33	365	76	173	607	103
contig#10162	114	54	57	325	91	272	21	95	12	69	151	104
contig#10163	66	61	76	142	73	166	30	140	50	65	120	54
contig#10164	14	24	227	512	26	603	0	472	8	71	48	57
contig#10165	386	12	239	295	18	361	268	268	53	263	248	360
contig#10166	77	124	206	441	52	296	6	195	33	67	296	68
contig#10167	3	0	5	9	0	6	0	9	0	0	9	2
contig#10168	10	3	7	10	10	12	1	13	6	2	3	5
