"logFC"	"logCPM"	"F"	"PValue"
"contig#10029"	0.928003500890685	2.45262064241254	1.16842201881743	0.298906612552458
"contig#1003"	-0.190130952015293	4.32507757052395	0.097665033119294	0.7594882270325
"contig#10030"	0.228875883511402	2.63497954411665	0.131382767759271	0.722688416316164
"contig#10031"	-0.035732447860062	3.37558582204856	0.00410798966730831	0.94984751360918
"contig#10032"	0.56822622127527	2.62327104094466	3.9362013276423	0.0680139041855201
"contig#10033"	0.0214036486694282	0.0923794452483073	0.00202781238791686	0.964750056377874
"contig#10034"	-0.728675921497284	3.02676945349186	4.23796522020359	0.0596417215331472
"contig#10035"	-0.0144033226997653	4.41477724862724	0.0006291913579135	0.98036007806631
"contig#10037"	0.205055594885163	4.07260841266342	0.494069171375836	0.494219071110026
"contig#10038"	-0.145223528490818	3.14660014076868	0.236366156044006	0.634711937131905
"contig#10039"	0.240921485635906	1.54935271557675	0.208573957994265	0.655245152680304
"contig#1004"	0.669104200056555	2.71269421532679	7.14029925220527	0.0187109604601989
"contig#10040"	0.210179880034211	3.20340392282709	0.124896597966143	0.729313342524553
"contig#10041"	-0.0785001833937089	2.20266600277875	0.030411495896382	0.864182261645888
"contig#10042"	0.328682381562076	0.472991600742072	0.476000287883446	0.502082673373891
"contig#10043"	-0.160781723600553	4.13948818868103	0.679454993803765	0.424127435382605
"contig#10044"	0.475413979012133	3.41148258775612	6.94749861206039	0.0200676219167547
"contig#10045"	-0.155849310356945	4.68551820158351	0.772783052354603	0.394765956916098
"contig#10046"	-0.268580061716513	5.1259478873493	0.443792411641474	0.516668896814541
"contig#10048"	0.133066032516296	0.839499996869124	0.0872719850066508	0.772228681839828
"contig#10049"	-0.12460565879699	-0.268964622211887	0.0730450341454744	0.79109077076491
"contig#1005"	0.320165272752575	3.65821223994666	3.03287641486128	0.104364110801444
"contig#10050"	-0.412305180667944	4.07716139047389	2.29465773425859	0.153120380363699
"contig#10051"	-0.157548291177299	1.27614883017254	0.0557178867840439	0.816987157093793
"contig#10052"	0.106527994311343	0.255657931256255	0.0565699276439825	0.815618980728481
"contig#10053"	0.462934621960931	4.39996617470282	2.59846976354049	0.130396770597869
"contig#10054"	-0.115964895355157	2.69353155845584	0.259395939322315	0.61877452886627
"contig#10055"	-0.471272086744675	1.27905730682336	2.46696252790618	0.139443396770618
"contig#10056"	0.650745013821531	4.04350090951386	5.3623070584662	0.0371014198972789
"contig#10057"	0.33388229934794	3.92825616385611	1.20220057281056	0.292308269785228
"contig#10058"	0.0484796611655675	3.6054247659986	0.00599742591716115	0.939422219804241
"contig#10059"	0.271446281911311	2.47715699262211	1.63024164863162	0.223237469439698
"contig#1006"	0.232962970934687	4.44780131844699	0.395456859857901	0.54007883175692
"contig#10060"	-1.91556569231217	1.16210318447767	4.25889160551252	0.0590940659568672
"contig#10061"	-0.570357127496079	1.6445612781226	4.47487179255058	0.0535518437503329
"contig#10062"	0.217067247557534	3.19047847398439	0.436600978815441	0.520031400591627
"contig#10063"	-0.183152471805745	2.81990290417535	0.148297128170056	0.706246504141954
"contig#10064"	-0.522836002626065	0.526360221026685	1.84343817402048	0.196858649152571
"contig#10065"	-0.142298844556626	0.735460782676981	0.0697612839759961	0.795726751320444
"contig#10067"	0.554241226527455	1.65261099345155	2.8890894622774	0.112138674289016
"contig#10068"	0.0653243759153343	3.19391861793842	0.0254467513435036	0.875652205535508
"contig#10069"	0.0758269123582342	2.1733230532719	0.0164295836232768	0.899923038386357
"contig#1007"	-1.29526329012154	5.24471937371502	13.4870921366362	0.00270929716705341
"contig#10070"	-0.041819227086253	3.12212268098136	0.00463903111956925	0.946709456331691
"contig#10071"	0.392153833195119	2.62889420334945	2.19236461289288	0.16169949591987
"contig#10072"	-0.198100236985386	1.73540536474306	0.141588402413796	0.712631896911154
"contig#10073"	0.0512689305893978	2.92661778182717	0.0415256047938363	0.841572511776924
"contig#10074"	1.21003996118338	0.814351629698549	2.48403785422608	0.138449591701817
"contig#10075"	0.353871696625804	4.2395935003303	3.33312125173948	0.0901381235280901
"contig#10076"	0.0934337306017677	2.67659372538466	0.0734342855383381	0.790554177476039
"contig#10077"	0.154117714551268	3.38392827683325	0.46848454601761	0.505289366105872
"contig#10078"	0.125755250956989	4.24588596215281	0.0953355382170549	0.762276444926561
