	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#11618	3.665763596	0.234046533	4.330580379	0.000709701	0.282945624	-0.474110245
contig#25688	3.668752913	2.261349667	4.194357638	0.00092252	0.296805212	-0.476557251
contig#51097	3.68631267	0.341922545	4.320205787	0.000723973	0.285886467	-0.489266739
contig#22714	3.534388862	0.91166973	4.250405086	0.000827976	0.294972861	-0.490078205
contig#10504	1.786904327	2.917137295	4.176701798	0.000954541	0.296805212	-0.491188303
contig#41645	1.732593162	0.228949672	4.266868578	0.000802138	0.294972861	-0.491903655
contig#9948	2.293333025	3.485052622	4.166505094	0.000973551	0.296805212	-0.511812692
contig#26588	-1.337392531	2.2891375	-4.165784591	0.000974909	0.296805212	-0.512769527
contig#23275	3.355439338	4.451929979	4.1674015	0.000971865	0.296805212	-0.519137229
contig#39891	1.629566614	1.915979595	4.163338708	0.000979533	0.296805212	-0.526100731
contig#6116	2.843588523	4.665828852	4.162729017	0.000980689	0.296805212	-0.534370494
contig#19066	2.884064433	1.64461179	4.16981353	0.000967341	0.296805212	-0.53789867
contig#17730	2.538257071	0.069120238	4.252173223	0.000825161	0.294972861	-0.553881732
contig#20415	-1.815568629	0.445555743	-4.18899939	0.00093212	0.296805212	-0.579716135
contig#42088	2.369904511	-1.176325935	4.484421635	0.000528969	0.269752158	-0.592050893
contig#37372	3.366395476	-0.6703436	4.389990774	0.000633363	0.271895073	-0.593580171
contig#13479	-2.129801719	1.062437866	-4.146704561	0.001011581	0.299694558	-0.595221866
contig#52166	3.065943854	-0.472587341	4.344664438	0.000690788	0.281954825	-0.607126348
contig#5467	1.776823305	3.872492538	4.116101198	0.001073377	0.304099721	-0.60808605
contig#558	3.070927961	8.004154338	4.145539086	0.001013866	0.299694558	-0.620793144
contig#509	3.810797891	2.444307476	4.096497953	0.001114978	0.304099721	-0.63973294
contig#26227	2.506364128	2.631752742	4.09135435	0.001126164	0.304099721	-0.640153239
contig#12886	4.198837731	3.08257583	4.091218933	0.00112646	0.304099721	-0.641006085
contig#6067	3.402394611	3.803149412	4.089842669	0.001129473	0.304099721	-0.647584915
contig#15740	2.448557834	0.012251632	4.192116312	0.000926523	0.296805212	-0.661182513
contig#53313	3.129895283	-1.299022987	4.490628885	0.00052276	0.269752158	-0.665099015
contig#2759	2.066150693	0.662985182	4.12841516	0.00104806	0.299694558	-0.666920002
contig#32320	1.725302144	0.342315956	4.139835392	0.001025127	0.299694558	-0.667135005
contig#19855	-1.770052422	-0.624496705	-4.241278621	0.000842666	0.294972861	-0.688544911
contig#17600	2.56079989	-0.429408075	4.251271943	0.000826595	0.294972861	-0.691277573
contig#12989	1.477548435	2.913001551	4.061745627	0.001192827	0.304290919	-0.692561825
contig#19484	4.053948486	3.33225627	4.060278343	0.001196233	0.304290919	-0.69390516
contig#6408	2.529260285	4.735219319	4.07533882	0.001161735	0.304290919	-0.695432058
contig#11422	1.887311938	3.703742356	4.065593025	0.001183941	0.304290919	-0.695499969
contig#9563	5.25587044	1.171202006	4.13116914	0.001042482	0.299694558	-0.698144974
contig#3013	3.378848536	0.019865408	4.193083473	0.000924794	0.296805212	-0.705212955
contig#52992	3.412691568	0.202761831	4.185941602	0.000937644	0.296805212	-0.710787593
contig#9115	5.304223094	1.22504743	4.154987111	0.000995492	0.299101925	-0.713210411
contig#12462	1.970705128	3.404306995	4.037519464	0.001250364	0.309917556	-0.74039854
contig#18663	2.979289738	5.688902428	4.060703139	0.001195246	0.304290919	-0.740627111
contig#2915	1.019081885	6.169561976	4.064507507	0.001186441	0.304290919	-0.750997291
contig#11334	1.322553352	6.472544698	4.066500725	0.001181855	0.304290919	-0.751760914
contig#14679	1.319877597	3.979242966	4.035224698	0.001255959	0.309917556	-0.757464826
contig#42237	2.481489926	0.300006704	4.100044391	0.001107331	0.304099721	-0.759792881
