"logFC"	"logCPM"	"PValue"
"contig#10173"	0.495638073256561	0.885364715645073	0.349151618210544
"contig#10174"	-0.00282967579994937	-0.277152191921738	1
"contig#10175"	0.144688947615024	0.148693721641643	0.745210472306748
"contig#10176"	0.0372607456100478	1.5891040767995	0.934726241257335
"contig#10177"	-0.250715880011283	0.972069553623177	0.705033655991543
"contig#10178"	-0.373392260504706	1.30601520612809	0.462188882215242
"contig#1018"	-0.410665088393267	5.85782981729687	0.249633404389551
"contig#10180"	-0.061402876188907	2.39353972514545	0.869936543156249
"contig#10181"	-0.53317078779044	0.637642778250622	0.441802629328646
"contig#10182"	0.290567196753185	-0.824527060095698	0.745462376933499
"contig#10183"	-0.0206751751230988	3.45052162841569	0.958090485514639
"contig#10184"	-0.0729935182955353	1.33808818997377	0.880943250498349
"contig#10185"	-0.143918247731578	1.88565352506471	0.615602365633429
"contig#10186"	0.0723726062184998	1.38046343053417	0.930453899425164
"contig#10187"	0.316575151570428	2.57954081668835	0.401612392077816
"contig#10188"	0.216233208905948	1.08417140425099	0.692726883754334
"contig#10189"	0.0799075418508597	4.6561656090829	0.791386456268744
"contig#1019"	0.00158287928580862	2.79459256436708	0.995599554910997
"contig#10190"	-0.167032473127358	3.57635615161215	0.827320712432727
"contig#10191"	0.120547095746416	3.11776743475436	0.637769121722981
"contig#10192"	-0.290013062575858	-0.156471985642903	0.655278813597699
"contig#10193"	0.194896150632725	4.01382113358199	0.433419592123612
"contig#10194"	0.438051141771868	2.36214863026842	0.322488809050709
"contig#10195"	0.155932763827164	1.11302636723591	0.880040789702959
"contig#10196"	-0.204146930629264	5.35663558456755	0.497866479096969
"contig#10197"	-0.0313412749868032	3.60975686190721	0.911526520854403
"contig#10198"	0.0394931609253524	3.60998440183106	0.917726722393862
"contig#102"	-0.0109975870829528	0.176859963591159	0.897181806379519
"contig#1020"	1.26284757107183	0.871319621238774	0.139539024246931
"contig#10200"	0.208556303100847	1.70675340350471	0.50242894996763
"contig#10201"	0.147283705959034	2.92588340119244	0.790628280064788
"contig#10202"	-1.28902247184579	1.29473507594026	0.00472219320149412
"contig#10203"	0.331051453463534	3.8475398602182	0.306106621172087
"contig#10205"	0.346226100395668	4.19757243158019	0.535756722601147
"contig#10206"	0.297792084728669	2.52418163608807	0.298119741425254
"contig#10207"	0.359952108148737	0.946578867785422	0.438032429296176
"contig#10209"	0.41032580622824	3.28651670075961	0.158941257657576
"contig#1021"	-0.0674910252012935	5.97806746833852	0.866039972256089
"contig#10210"	0.233499548254929	4.31753733220156	0.375952502838678
"contig#10211"	-0.0882404516874041	3.59529537382495	0.712202227549225
"contig#10212"	-0.113233279266649	-0.0581374887214058	0.932578897334981
"contig#10213"	-0.127111102163912	3.57582880767686	0.750050085561661
"contig#10214"	-0.0561365963789031	1.19230470191615	0.953028669467176
"contig#10215"	0.167464681640627	2.67439291394075	0.809888647627194
"contig#10216"	0.13222878091122	4.02728878462552	0.580960634350203
"contig#10217"	0.420379558070947	5.5445365299125	0.124599514909583
"contig#10218"	-0.0836738750916279	0.88856753972476	0.778973989859976
"contig#10219"	0.109842245679422	4.04121500940028	0.652395272275273
"contig#1022"	0.267420765871352	5.12370112947653	0.39513398467845
"contig#10221"	0.143864428550449	1.8694421642156	0.817031799714529
"contig#10222"	-0.688961031804858	2.1941396754355	0.0400924609460737
"contig#10223"	0.174796194220024	2.39593913159496	0.66583538982254
"contig#10224"	0.384420802093141	0.832078446319098	0.356903732362376
"contig#10225"	0.390769037553263	2.42389650462551	0.154923880911588
"contig#10226"	0.0924858784494773	2.07987158358431	0.842160398987872
"contig#10227"	0.177534821003186	3.15960309141254	0.501870859717471
"contig#10228"	0.165787177327206	2.62854128673354	0.613153059048667
"contig#10229"	-0.789828080296613	3.59140978239076	0.170071355215178
"contig#1023"	0.0946099110700272	8.62535466545022	0.729377830072728
"contig#10230"	-0.00412361441071557	4.17541899271375	0.988206312726932
